term,norm_slope,last_count,mean
drug,0.07346938766588922,0.0,0.8235294117647058
take,0.07339757013151342,2.0,1.8235294117647058
scott,0.07324675312223376,3.0,0.5882352941176471
around,0.07319952770727345,5.0,1.9411764705882353
allegedly,0.0731995276695646,2.0,0.9705882352941176
university,0.07319952766956457,7.0,0.9705882352941176
common,0.07319952763185573,5.0,0.6470588235294118
going,0.0731856378549274,6.0,2.0
article,0.07307359299077634,1.0,0.8823529411764706
site,0.07297464428506639,1.0,0.6176470588235294
instagram,0.07297464428506639,0.0,0.6176470588235294
surge,0.07290640389814845,6.0,1.7058823529411764
revenue,0.07272727266545453,2.0,1.1764705882352942
bring,0.07251948042085402,0.0,0.7352941176470589
current,0.0725014115246704,3.0,0.6764705882352942
credit,0.07238095229892064,1.0,0.8823529411764706
note,0.07232767223308997,3.0,0.7647058823529411
times,0.0722215837042781,5.0,3.323529411764706
officially,0.07220779208503898,0.0,0.5882352941176471
future,0.07157287152780717,2.0,1.588235294117647
officials,0.07156109191960058,6.0,1.4411764705882353
worth,0.07154663512771277,3.0,1.2941176470588236
education,0.0715284714817029,5.0,1.5294117647058822
games,0.07124304264998674,5.0,3.2941176470588234
caught,0.07114624495411583,0.0,0.6764705882352942
warning,0.07109461959698488,1.0,1.0294117647058822
project,0.07099567088072563,0.0,0.6176470588235294
airport,0.0708719850716406,3.0,0.8235294117647058
rise,0.07082673418263401,7.0,1.2058823529411764
letter,0.07050092752964042,1.0,0.6176470588235294
items,0.07044155834575791,0.0,0.7352941176470589
results,0.0702040815644548,2.0,1.0294117647058822
invest,0.07004030444094692,3.0,0.8529411764705882
george,0.07000618417855523,0.0,0.6176470588235294
evening,0.06987850851154508,2.0,0.9117647058823529
class,0.06968880171956744,0.0,1.5588235294117647
experts,0.06968204201413901,0.0,0.8529411764705882
trillion,0.06951144082747004,0.0,0.6176470588235294
follow,0.06944634306841745,2.0,1.1176470588235294
control,0.06933935619337638,2.0,0.6764705882352942
ahead,0.06926406922838776,6.0,1.9411764705882353
peoples',0.06919480510070025,1.0,0.7352941176470589
talks,0.06914464841446019,1.0,1.7058823529411764
rising,0.06907166898468993,4.0,0.7941176470588235
taken,0.06894923247903831,2.0,0.6470588235294118
operations,0.06888763400319149,1.0,0.6764705882352942
died,0.068831168733658,1.0,0.7058823529411765
title,0.06877922068568103,0.0,0.7352941176470589
lawsuit,0.0686617729588491,0.0,1.3529411764705883
massive,0.06857142851314285,0.0,1.1764705882352942
numbers,0.0685714284937143,0.0,0.8823529411764706
optimism,0.06857142845485714,4.0,0.5882352941176471
congress,0.06839826833367,2.0,1.0588235294117647
career,0.06830206821605829,2.0,0.7941176470588235
launch,0.06822510817356035,1.0,1.3235294117647058
accused,0.06812615948855127,1.0,1.0294117647058822
trade,0.0680880616585697,22.0,5.5
band,0.06805194793625972,0.0,0.5882352941176471
protests,0.0679841896228218,0.0,0.6764705882352942
shareholder,0.06791726783174248,0.0,0.7941176470588235
since,0.06790352500515504,1.0,1.6470588235294117
issues,0.06784730414103729,1.0,0.9705882352941176
used,0.06784730414103728,2.0,0.9705882352941176
alabama,0.06753246747506492,0.0,1.1764705882352942
deadline,0.06753246746071428,0.0,0.9411764705882353
exclusive,0.06753246743679654,0.0,0.7058823529411765
billionaire,0.06753246742809918,0.0,0.6470588235294118
lead,0.06723562148867852,0.0,2.0588235294117645
closed,0.06719731873652175,3.0,0.9117647058823529
platform,0.06703772407204404,1.0,0.6176470588235294
continue,0.06679035242353565,2.0,0.8235294117647058
school,0.06657342653860356,3.0,1.911764705882353
rose,0.0664388242741159,5.0,1.1176470588235294
texas,0.06629023148312424,8.0,2.7058823529411766
while,0.06617192330138849,9.0,4.9411764705882355
google,0.06616025479705769,1.0,1.5588235294117647
sports,0.06608946602704825,1.0,1.0588235294117647
little,0.06599326591016336,0.0,0.7941176470588235
wife,0.0659582840721453,3.0,0.9705882352941176
jones,0.06593406584784446,0.0,0.7647058823529411
spotlight,0.0658008657076479,0.0,0.7058823529411765
action,0.06569900684262796,0.0,2.0
russian,0.06562417170108556,2.0,1.4411764705882353
such,0.06555349401878847,3.0,0.6176470588235294
andrew,0.06553446544876661,0.0,0.7647058823529411
decision,0.06545454538036365,0.0,0.8823529411764706
family,0.06534518109567698,3.0,1.6764705882352942
found,0.06524675320238546,0.0,1.4705882352941178
plans,0.06518010287413832,1.0,1.5588235294117647
safety,0.0650717702767061,7.0,1.1176470588235294
month,0.06499841616402728,3.0,1.2058823529411764
near,0.06493506487987011,8.0,1.1764705882352942
virginia,0.06484549929024506,2.0,1.7058823529411764
india,0.06462072957488817,6.0,4.617647058823529
excess,0.06450216441078645,0.0,0.7058823529411765
called,0.06439142248004326,0.0,1.2647058823529411
earlier,0.06422668230924117,1.0,0.6470588235294118
confirmed,0.06417112293048127,2.0,1.0
house,0.06415373242868182,1.0,3.6176470588235294
daily,0.06414455105366164,8.0,1.3529411764705883
arrested,0.06406926402655123,1.0,1.5
reported,0.06397031533674423,3.0,1.0294117647058822
file,0.06393606385245525,0.0,0.7647058823529411
foreign,0.06367346932590087,0.0,1.0294117647058822
kathmandu,0.06363636360931818,2.0,2.3529411764705883
remains,0.06353646348107277,1.0,1.1470588235294117
different,0.0632996632199526,2.0,0.7941176470588235
links,0.06317553407398678,0.0,0.9117647058823529
rally,0.06314574309803303,4.0,1.3235294117647058
delhi,0.06313686305429954,0.0,0.7647058823529411
ties,0.06301524553078829,1.0,0.6764705882352942
killed,0.06298701292008928,4.0,0.9411764705882353
receiver,0.06285714275028571,2.0,0.5882352941176471
impact,0.0627893844821054,2.0,1.3529411764705883
bitcoin,0.06268398264846176,3.0,1.7647058823529411
four,0.06264323905118412,0.0,1.0
cancer,0.06258503391227731,0.0,0.6176470588235294
coverage,0.0625850339122773,1.0,0.6176470588235294
football,0.06257848110743695,10.0,4.4411764705882355
private,0.06251679347798075,1.0,0.8529411764705882
puerto,0.06248608528252743,0.0,1.0294117647058822
points,0.062337662271428576,1.0,0.9411764705882353
past,0.062257742225176646,4.0,1.911764705882353
down,0.06219974713678439,4.0,3.323529411764706
against,0.062181595219731815,7.0,6.852941176470588
